1165. A pitot tube is used to measure
	Prasanna, 2013, Pitot tube is used for to find out the velocity of the flow pipes or soil etc.
	Kataki, 2021, Mass of water=108-86.4 g =21.6 g. $% Volume of water=21.6/1 cc=21.6cc. $% Now, Mass of dried soil =86.4g and absolute density =2.52.  $% Therefore Volume of soil solids = 86.4/2.52=34.29cc. $% Also, Total volume is given = 60cc.  $% Hence volume of air =60-(34.29+21.6) cc = 4.11 cc. $% Volume of voids = 4.11 + 21.6 = 25.71 cc. $% Thus Degree of Saturation =Vol. of water/Vo/. of voids *100=21.6/25.71*100=84%.
	Geet, 2021, @Kishan. $%  $% Very nice, Thanks.



1581. Pick up the correct statement from the following:
	Vivek, 2015, Weight of the hammer is 2.5 kg!
	Bhaskar, 2017, Yes, 2.5 kg.
	Sonu Kumar, 2017, Yes, the weight of hammer 2.5 kg.
	Sunil, 2017, Weight of hammer is 2.5 kg.
	Sai, 2018, For SPT-wt 2.6kg, the height of fall-310mm. $%  $% For MPT-wt4.89kg, the height of fall-450mm.
	Yaminitandan, 2019, Wt 2.6 kg. $%  $% The height of fall 31cm. $% No of layer 3.  $% No of blow each layer 25.
	Vimo, 2020, Option c is not 25 kg it is 2.5 kg.
	Manish Sharma, 2020, Sure, 2.5 kg is right.
	Eniga, 2020, The weight of the rod of compaction is 2.5 Kg.



1582. The passive earth pressure of a soil, is proportional to (where φ is the angle of internal friction of the soil.)
	Yogesh, 2016, Isn't it  tan2 (45°+ φ/2)?
	Souvik, 2017, Yes, you are right @ Yogesh.
	Hari Meena, 2017, Yes, Right.
	Melkie, 2017, It shoud be tan2 (45+q/2).
	Krishan, 2017, It is asking about proposal, not for equal.
	Tushar, 2018, Tan2 (45-π/2) is the right answer.
	Akhil Sharma, 2019, Please explain the correct answer.
	Dheeraj, 2020, The Right answer is tan^2(45π/2).  $% For Active earth pressure: tan^2(45+π/2). $% Earth pressure at rest :( 1-sinθ).
	Nikhil Dongre, 2020, Earth pressure at rest proportional to =(1-sinθ). $% Active earth pressure proportional to = cotθ (45°+ φ/2) or tanθ (45°- φ/2). $% Passive earth pressure proportional to = tanθ (45°+ φ/2).
	Jitendra Ahirwar, 2021, For active case; $% Ka =tan^2(45-π/2)  $%  $% And for the passive case,  $% it is Kp=tan^2(45+π/2).



1583. If a soil undergoes a change in shape and volume by application of external loads over it, but recovers its shape and volume immediately after removal of the load, the property of the soil is said to be
	Ujjwal, 2016, The elasticity is the property of soil.  $%  $% And thus, soil is called what? (elastic soil/plastic soil/compressive soil).



1584. If the unit weight of sand particles is 2.696 g/cc. and porosity in loose state is 44%, the critical hydraulic gradient for quick sand condition, is
	Suraj, 2014, Ic = (Gs-1)/1+e. $% Gs = 2.696. $% e = n/1-n.
	Swapnil, 2014, Ic = G-1/1+e. $% e = n/1-n. $% e = 0.44/1-0.44 = 0.78. $% Ic = 2.696-1/1+0.78. $% Ic = 0.9528.
	Rosh, 2016, G is not given. Unit weight is not equal to G. Data insufficient can't solve.
	Abhay, 2016, G = Υs/Υw => G= 2.696/1.  $%  $% Υs = Unit weight of sand particle. $%  $% Ic = (G-1)/(1+e). $%  $% e = n/(1-n) => e = 0.44/(1 = 0.44) = 0.78. $%  $% Ic = (2.696-1)/(1+0.78) = 0.9528.
	Atchaya, 2017, We can also use this formula, Ic = (g-1)(1-n).
	Nayan, 2017, Unit weight of water = 1. So directly specific gravity of soil is = 1.



1585. The void ratio of a soil sample decreases from 1.50 to 1.25 when the pressure is increased from 25 tonnes/m2 to 50 tonnes/m2, the coefficient of compressibility is
	Vikash, 2014, Coefficient of compressibility = change in e/change in stress. $%                                = (1.50-1.25)/(50-25).                       $%                                = 0.01.
	Pranav, 2015, Cc = Change in e/log (Final pressure/Initial pressure). $%  $% = (1.50-1.25)/log(50/25) = 0.8304.
	Yogesh, 2016, @Pranav. $%  $% That is Coefficient of Compression index.
	Mahesh, 2017, .830 is the correct answer.
	Rameshwar, 2017, CC = change in e/log10(initial stress+increased stress/initial stress). $%  $% Cc = 0.25/log(50/25) = 0.83.
	Nandish, 2017, e0 = initial void ratio = 1.5.  $% e = final void ratio = 1.25. $% P0 = initial pressure = 25 t/m2. $% P = final pressure =50 t / m2. $% for co efficient of compressibility. $% an = ((eo - e) / (p-po)) = (( 1.50-1.25)/(50-25)) = 0.01. $% for compressibility index use; $% = (( eo - e)/ (log (p/po)).
	Priya, 2017, Yes, I agree @Nandish.
	Biki, 2018, .01 is correct.  $%  $% The Coefficient of compressibility is asked, log should be used in the denominator if coefficient of compression (also known as compression index).
	Prachi, 2018, The Answer is correct. The Coefficient of compressibility is asked that is e/σ= 0.25/25.
	Deepak Baswal, 2018, .01 is the correct answer.
	Sagar Nadavadekar, 2018, Av= -(eo-e)/po-p. $%       = -(1.25-1.5)/50-25, $%       =0.01.
	Sanku, 2020, Given Answer is correct. I agree.
	Shakti, 2021, How you will get the coefficient?  $%  $% @Nandish. $%  $% The Unit will be m2/t, right?



1586. Pick up the incorrect statement from the following:



1587. The maximum water content at which a reduction in water content does not cause a decrease in volume of a soil mass, is known
	Dawood Khan, 2021, Shrinkage Limit (SL) is the water content where the further loss of moisture does not cause a decrease in specimen volume. $%  $% So the given Answer is right.



1588. A sample of saturated soil has 30% water content and the specific gravity of soil grains is 2.6. The dry density of the soil mass in g/cm3, is
	Vikash, 2014, Yd = GYw/1+WG. $%  $%    = 2.65x10/1+(.3x2.65). $%  $%     = 14.76.
	Shilpa, 2014, yd = y/1+w. $%  $%    = 2.6/1+0.3. $%  $%    = 2.
	Ankit, 2014, Yd = GYw/(1+WG). $%    = 2.65*1/(1+.3*2.65) (here we will use Yw = 1 gm/cc). $%    = 1.476 gm/cc.
	Bhupal, 2015, yd = (yw(1-na)G)/(1+wG). $% yd = y/(1+w).
	Seazzzz, 2015, Sr.E = W.G. $%  $% Saturated soil, Sr = 1. $%  $% Water content, w = 30% = 0.3. $%  $% Specific gravity, G = 2.6. $%  $% Using formula, e = 0.78. $%  $% Now, Yd = (G.Yw)/(1 + e). $%  $% Solving this, we get dry density, Yd = (2.6X1)/(1+0.78). $%  $% = 1.46 gm/cc.
	Abhay, 2016, For saturated soil: $%  $% Υd = GΥw/(1+wG). $%  $% = 2.6*1/(1+0.3*2.6). $%  $% = 1.46067.
	Saunak, 2016, Answer is 1.461 so A.
	Sudarsan Sahoo, 2017, Yeah. The correct answer is A.
	Dh Satgam, 2017, According to me, the answer will be 1.12g/cc.
	Mubbasher, 2018, According to me, the answer is 14.44.
	Pavan, 2019, We have Yd=GYw/(1+e). $%  $% We have to calculate the value of e from S.e=W.G. $% S=1, W=0.3,G=2.6 all values put and find e as 0.78. $%  $% Now all putting in eq.Yd = GYw/(1+e). $%                                       Yd = 2.6/(1+0.78). $%                                       Yd = 1.46.
	Jeet, 2020, A is correct.
	Reetu Jayswal, 2021, C is correct. $%  $% For saturated soil,  $% Yd=(G+e)Yw/(1+e), $% Yd=(2.6+.78)1/(1+.78), $% Yd= 1.91.
	Muhammad Ali, 2021, Why not Yd= GYw/1+w? Explain please.



1589. The specific gravity of sands, is approximately
	Raju, 2017, 2.65-2.67. $%  $% So, here we can take 2.6.
	Sarang, 2019, Sand is composed of quarts and s.g of quarts is 2.65. $%  $% So S.G of sand cannot be less than 2.65.



1590. If the coefficients of volume change and compressibility of a soil sample are respectively 6.75 x 10-2 and 3 x 10-2, the void ratio of the soil sample, is
	Ch Swamy, 2013, coeff. compressibility = coeff.volume change/ (1 + e).
	Jcr, 2016, Coeff. compressibility = coeff.volume change * (1 + e). $%  $% Coeff. compressibility> Coeff.volume change always => So I think the question is incorrect.
	Yogesh, 2016, Coeff of vol change = coeff of compressibility/(1+eo). $%  $% Maybe the question is jumbled, if we take Coeff of vol change as 3 x 10-2 & coeff of compressibility as 6.75 x 10-2 the answer 1.25 is correct.
	Aamir, 2017, You are correct @Yogesh.
	Murali, 2017, Yes, Correct @Yogesh.
	Prasenjit, 2017, Cc!=cv/1+e0, $% Cc =6.75*10 power -2, $% Cv=3*10 power -2, $% Ans 1.25.
	Raju, 2017, Mv=Cv/1+e.
	Ankush, 2018, Here, Mv=Av/(1+e0).
	Arefin, 2018, The formula should be Coefficient of Volume Change= (Coefficient of compressibility)/(1+e). According to this formula, the result will be 0.55.  $%  $% Ref: Civil Engineering book by R.S Khurmi.
	Biki, 2018, Coefficient of volume compressibility (coefficient of volume change) = coefficient of compressibility /1+e. $%  $% Reverse the given values to get the correct answer.
	Madhusmita Ghadai, 2019, Coefficient of volume change=coefficient of impressibility/(1+e). $%  $% If we will consider the coefficient of volume change 3*10^-2 and coefficient of impressibility  6.75*10^-2 then we will get the answer 1.25.
	Ram Pravesh, 2019, Mv=av/(1+e). $%  $% The coefficent of value change is inversely proposition coeff of compressibility.
	Anki, 2020, Yes, you are right, thanks @Arefin.
	Dipunku, 2020, Correct @Arefin.
	Sanku Shaw, 2020, It should be 0.55 not 1.25. Arefin is correct.
	Wasif, 2020, The value of e could never be greater than 1.
	Mjm, 2021, It should be 1.25 as compressibility coeff/volumetric change = 1+e.



1591. The minimum centre to centre distance of friction piles of 1 m diameter, is
	Vikram, 2016, 3d friction pile.
	Gajan Rana, 2017, 3*D for friction piles.  $% 2.5 * D for end-bearing piles.
	Mahendra Kumar Reddy, 2017, I think, Option B is correct.
	Nayan, 2017, Minimum 3d so, C is correct I think.
	Anant, 2018, 2.5d to 3.5d for end bearing pile. $% 3d to 4d for friction pile.
	Pleo, 2019, As per IS 2911:. $%  $% In case of piles founded on hard stratum and deriving their strength from end bearing the centre to centre distance between such piles should be 2. 5*dia of the pile. $%  $% In case of friction piles, the centre to centre distance should be 3*dia of the pile.



1592. Over-consolidation of soils is caused due to
	Chaudhary, 2017, Answers should be B.



1593. Darcy's law is applicable to seepage if a soil is



1594. An infinite slope is inclined at angle i and has its angle of internal friction φ, the stability number Sa, is
	Raju, 2017, Sa=C/yHc.              $% Hc=C/y(tanθ-tanθ)cos2θ.
	Anant, 2018, For cohesive soil  FOS = shear strength / shear stress. $% put FOS = 1 and calculate C/(yHc) value.



1595. Depending upon the properties of a material, the failure envelope may
	Sarang, 2019, Depending upon properties like cohesion and internal angle resistance of shear.



1596. A stratum of clay 2 m thick will get consolidated 80% in 10 years. For the 80% consolidation of 8 m thick stratum of the same clay, the time required is
	Deep, 2014, Tv = Cvt/d2. $%  $% Cv*10/4 = cv*t/64. $%  $% T = 160 years.
	Abhay, 2016, Time factor T = Cv*t/h^2. $%  $% T = 80*10/2^2 = 200. $%  $% For h= 8 m. $%  $% T = 80*t/8^2 => 200*64/80 = t. $%  $% => t = 160 years.
	Muhannad, 2016, .8 x 10/1 = 8. $% tv = 8. $% .8 x t/16 = 8. $% t = 160.
	Abhishek Nandi, 2017, Since the percentage of consolidation is same. using this formula fetches you the solution. $%  $% T1/T2=[(D2)^2] / [(D1)^2]. $% T=time taken to consolidate a stratum of soil of thickness D, $% T1/10=[(8)^2] / [(2)^2)], $% T1=10*64/4=160.
	Anant, 2018, Drainage path  will be 4 times. $% (t1/t2) = sq(d1)/sq(d2). $% t1 = sq(4)*10/sq(1). $% t1 = 160 yrs.
	Deepak Baswal, 2018, Thanks for the given explanation @Abhay.
	Karan Panjabi, 2018, Thanks for the solution @Abhishek.
	Puspendu, 2018, Thanks for the given explanation @Abhay.
	Jilile, 2019, Thanks @Abhay.
	Farheena Firdousi, 2020, Thanks @Abhay.



1597. The maximum net pressure intensity causing shear failure of soil, is known
	Sachin, 2016, I think the correct answer is ultimate bearing capacity.
	Virender, 2016, It should be, Ultimate BC.
	Dipen Tilva, 2017, Yes, D is the correct answer.
	Rahul Sovanshi, 2017, Yes, the correct Option is D.
	Nikhil, 2018, Ultimate bearing capacity:The minimum gross pressure at the base of the foundation at which soil fails in shear. $%  $% Net ultimate bearing capacity:The minimum net pressure that causes shear failure of the soil. $%  $% So option c is correct as it I related to net pressure no gross load.
	Paul, 2018, @Nikhil. $%  $% The question is asking about maxi.
	Chinmoy, 2018, I think Nikhil is correct.
	Suyash K, 2019, Nikhil Is Correct Max Net Pressure.
	Opsc Aee, 2019, Net Ult. bearing capacity - Minimum net pressure causing shear failure. $%  $% Ultimate bearing capacity - Max gross/net pressure intensity causing shear failure. $%  $% Ref. B.C Punmia book $% The correct ans is D
	Adnan, 2021, Minimum net Pressure intensity, I think we can get hints from the word' net'. Answer "c" should have been chosen.



1598. The factor which affects the compaction, is
	Nila, 2021, Explain the answer, please.



1599. The compression resulting from a long term static load and consequent escape of pore water, is known as
	Balli, 2019, Can anyone explain swelling?
	Adnan, 2021, Consolidation is a process where steady and static pressure causes compression of saturated soil. Further, In consolidation process, soil volume is reduced by squeezing out pore water from the saturated soil.



1600. Soil classification of composite soils, exclusively based on the particle size distribution, is known
	Akash, 2018, Soil texture analysis is the measurement of the proportions of the various sizes of the soil particles. The three major groups of soil particles are sand, silt and clay. The size measured for the particles change depending upon which system is used for defining soil particle size classification.  $%  $% The following are the four particle size classification systems that AGVISE Laboratories use: USDA, International (ISSS), ADAS, and W.German BBA.
	Aung San, 2018, Please explain me the answer.
	Dbd, 2018, The Answer should be particle size classification.
	Ashu, 2018, A is the correct option.
	Yagnya, 2019, Agree. The correct answer is B.
	Gayathry, 2019, Textural classification is exclusively based on particle size distribution while hrb classification is based on particle size composition and plasticity characteristics.
	Heera, 2019, The classification of soil exclusively based on particle size and their percentage distribution is known as a textural classification system. This system specifically names the soil depending on the percentage of sand, silt and clay. The triangular charts are used to classify soil by this system. $%  $% So given answer is correct.



1601. The coefficient of curvature for a well graded soil, must be between
	Nivruti Kamble, 2015, What is meant by coefficient of curvature?
	Avinas, 2016, Curvature for well-graded soil is greater than 4.
	Shivam Kumar, 2016, For well-graded soil Cc = 1-3.
	Sunil, 2017, Option B is right 1<c<3.
	Avinash, 2018, What is for uniformly graded soils?
	Deepak Baswal, 2018, It should be greater than 4 for well graded soil.
	Engr Pashtun, 2018, What is meant by the coefficient of curvature? Please explain me.
	Abhirup Paul, 2019, The coefficient of curvature is the ratio (D30) 2/ (D10. D60) , where D60, D30, and D10 are the particle diameters corresponding to 60, 30 and 10% finer on the cumulative particle-size distribution curve, respectively.
	Sunil, 2019, For single grained soil cu & cc =1. $% Well graded soil  cu= 5 & 1<cc<3. $% Uniform Soil cu<3. $% cc is curvature coefficient. $% cu is uniformity coefficient.
	Anonymous, 2021, Is it 1<= cc<= 3 or 1<cc<3? Please explain.



1602. Fundamental relationship between dry density (γd), specific gravity (G), water content (ω) and percentage of air voids (na) is :
	Nilam, 2020, Given dry density = (1-n)*(G*δw)/1+w*G.       $% Also   se=wG. $% When s=1    n=0. $% Dry density =G*δw/1+e.



1603. A moist soil sample weighing 108 g has a volume of 60 cc. If water content is 25% and value of G = 2.52, the void ratio is
	Ch Swamy, 2013, y = (G+G*w)/(1+e) * yw = Ws/Vs.
	Deep, 2014, 1.8 = 2.5(1+.25)/1+e $%  $%  $% e=0.75.
	Marko, 2016, Anyone explain clearly.
	Varsha, 2017, Anyone, explain it clearly.
	Archana Singh, 2017, w=.25, $% G=2.52, $% W=108gm,V=60c.c. $% y=W/V=108/60=1.8gm/c.c $% y=G.yw(1+w)/(1+e), $% 1.8=2.52*1(1+.25)/(1+e). $% (1+e)=(2.52 * 1.25)/1.8. $% So      e=1.75-1 = 0.75. $% So, void ratio e = 0.75.
	Vikramoddin, 2018, [(G+wG)Yw]/(1+WG/s) if s=1  $% This formula  [(G+wG)Yw]/(1+WG)  then why can't we apply se=wG.
	Nikhil, 2018, Yt=(Gs+eS)Yw/(1+e) $% eS=wG, $% Yt=W/V. $%  $% Now, $% Yt=108/60=1.8, $% eS=wG, $% =0.25*2.52=0.63, $% eS=0.63. $% Yw=1, $% 1.8=(2.52+0.63)*1/(1+e), $% e=0.75.
	Imran Nasar, 2018, it's 0.80.
	Imran Nasar, 2018, y = w/v = 108/60 = 1.8. $%  $% now $% Yd = Y/1+0.25  = 1.8/1.25 = 1.44, $% e=GYw/Yd  =2.52*1 /1.44 =0.8.
	Sagar, 2019, First calculating, Yd=Y/1+w then by Yd=Yw(G)/1+e you will get e=75%.
	Yogesh, 2019, Yd = w/v*(1-w). $%  $% Get Yd, $% Then Yd = Yw*G/1+e. $% Get e = 0.75.
	Amit Dhiman, 2019, First find,  $%   W/g= 108/60 =1.8g/cc. $%  $% Dry density (yd)= bulk density ÷(1+w) = 1.8÷(1+.25)= 1.44g/cc. $%  $% Then  to find void ratio..  $% Yd = {(G*Yw)/(1+e)} =  { 1.44=(2.52*1)÷(1+e) }  $%                                        1+e =1.75=   0.75 Ans.
	Nitin, 2020, Ybulk =  (G + se)Yw/1+e. $% Se = wG. $% Ybulk = (G+wG)Yw/1+e. $% Ybulk = 108/60=1.8. $% 1.8 = (2.52+(.25*2.52))/1+e. $% e = .75.
	Priya, 2020, W=108g , v= 60cc, w = 25% G= 2.52. $% Yd = GYw/(1+e). $% Yd = Y/(1+w). $%  $% Y = w/v = 108/60= 1.8g/cc. $% Yd = 1.8/(1+0.25). $%      = 1.44g/cc. $%  $% Yd = GYw/(1+e). $% 1.44 = 2.52*1/(1+e). $% 1+e = 2.52/1.44. $% 1+e = 1.75. $% e=0.75.
	Sumeet, 2020, Given:   $%  $% M=108g, $% V=60cc, $% W=0.25, $% G=2.52, $%  $% Y = M/V*9.81. $%  = 1.8*9.81 = 17.67. $%  $% Yd = Y/1+w = 17.66/ 1+0.25 =14.13, $% e=2.52*9.81/14.13-1 =0.75.
	Nurul Jist, 2020, G = 2.52. $% w = .25. $% W = 108g. $% V = 60cc. $% Y = W/V = 108/60 = 1.8. $% Yd = Y/(1+w) =  1.8/(1+0.25) = 1.44. $% Yd = GYw/(1+e).         $% => 1.44 = (2.52*1)/(1+e), $% =>1+e =  1.75, $% =>e = 0.75.
